year,R1,R2
1950,20.875,29.22222222222222
1951,60.0,38.55555555555557
1952,6.125,14.111111111111107
1953,51.25,16.22222222222222
1954,25.0,37.44444444444444
1955,55.25,20.22222222222222
1956,1.875,23.55555555555556
1957,36.625,31.77777777777778
1958,27.75,44.66666666666666
1959,33.5,15.22222222222222
1960,28.5,28.333333333333336
1961,36.375,24.33333333333333
1962,28.375,11.11111111111111
1963,25.625,15.333333333333336
1964,23.0,2.777777777777778
1965,15.5,14.777777777777777
1966,3.875,13.333333333333332
1967,12.125,25.22222222222222
1968,59.25,14.666666666666668
1969,15.25,24.666666666666664
1970,31.375,11.555555555555554
1971,25.375,22.11111111111111
1972,3.375,22.0
1973,6.0,7.88888888888889
1974,13.375,24.666666666666668
1975,4.0,13.111111111111112
1976,5.375,43.11111111111111
1977,4.125,17.333333333333336
1978,15.5,26.77777777777778
1979,23.75,38.22222222222223
1980,36.5,32.55555555555556
1981,18.25,15.666666666666668
1982,18.375,11.999999999999998
1983,14.875,19.0
1984,14.0,39.99999999999999
1985,11.375,41.0
1986,14.125,25.88888888888889
1987,21.875,21.666666666666668
1988,19.625,22.0
1989,17.625,34.55555555555556
1990,26.5,16.444444444444443
1991,28.375,44.11111111111111
1992,23.125,7.444444444444444
1993,10.625,13.666666666666668
1994,40.0,16.444444444444443
1995,17.625,25.33333333333334
1996,14.375,15.444444444444445
1997,24.0,50.0
1998,44.25,15.888888888888888
1999,25.75,11.444444444444445
2000,1.75,22.77777777777778
2001,11.625,17.333333333333336
2002,49.25,29.666666666666664
2003,15.5,37.66666666666666
2004,17.625,8.88888888888889
2005,10.0,26.77777777777778
2006,21.625,10.333333333333332
2007,25.0,17.11111111111111
2008,39.25,15.777777777777777
2009,21.875,9.11111111111111
2010,32.125,6.444444444444445
2011,34.125,12.0
2012,13.625,13.777777777777777
2013,19.875,21.0
2014,39.5,12.555555555555555
2015,33.0,9.0
2016,22.625,18.333333333333336
2017,12.5,14.22222222222222
2018,32.75,12.11111111111111
2019,15.625,1.2222222222222223
2020,5.0,24.11111111111111
2021,8.25,12.111111111111112
2022,29.0,25.33333333333333
2023,19.375,31.555555555555557
2024,6.125,33.888888888888886
2025,40.25,14.11111111111111
2026,22.125,18.77777777777778
2027,10.25,15.777777777777777
2028,9.75,33.111111111111114
2029,15.875,20.33333333333333
2030,30.25,15.22222222222222
2031,26.5,10.0
2032,30.375,30.222222222222225
2033,53.125,20.0
2034,19.625,17.333333333333332
2035,14.5,12.88888888888889
2036,26.5,21.555555555555557
2037,16.25,6.333333333333333
2038,7.75,24.333333333333336
2039,19.625,34.33333333333333
2040,18.0,19.11111111111111
2041,28.75,19.333333333333336
2042,20.0,22.333333333333336
2043,39.5,24.0
2044,22.0,21.88888888888889
2045,17.0,36.88888888888889
2046,23.375,42.0
2047,21.5,18.88888888888889
2048,18.0,25.000000000000007
2049,13.625,13.999999999999996
2050,46.75,19.444444444444443
