#year gmst
1851 14.057965426739512
1852 14.053686940550497
1853 14.007880592171839
1854 14.008312617328249
1855 13.981662530389634
1856 13.95009474234011
1857 13.945708043001597
1858 13.992493288155414
1859 14.01335101024686
1860 14.037033999525688
1861 14.055436608032611
1862 14.002405593456329
1863 14.011307243477136
1864 14.048937076479984
1865 14.080727264745782
1866 14.129704384526594
1867 14.159472441627653
1868 14.130716900180694
1869 14.113492080867788
1870 14.102493413558939
1871 14.07987885657484
1872 14.065960083063027
1873 13.999929458960763
1874 13.970847390482735
1875 13.937893924612915
1876 13.93914962571064
1877 13.968853867465077
1878 13.972733465347957
1879 13.997790360296714
1880 13.981055547368477
1881 13.995463154073295
1882 13.998091741045657
1883 13.934863379043911
1884 13.922911889053907
1885 13.904428390635745
1886 13.90004402025608
1887 13.933658059074945
1888 13.956084634184924
1889 13.965659619581261
1890 13.978786542035797
1891 14.00718661644592
1892 14.030832524373315
1893 14.067018690179747
1894 14.048283469000559
1895 14.007458546608314
1896 14.007926677508237
1897 13.989884498549646
1898 14.02825761386276
1899 14.060989099626779
1900 14.027734268034074
1901 14.023970435578656
1902 13.971792712998363
1903 13.926683427839274
1904 13.905286466584643
1905 13.847738040890587
1906 13.85953181581796
1907 13.908244350138126
1908 13.949400094833358
1909 13.983765735290005
1910 14.025453300630172
1911 14.018322944299022
1912 13.976191245302806
1913 13.960927040461478
1914 13.976789285502974
1915 14.008384222079474
1916 14.084650759484909
1917 14.195919174535497
1918 14.200759109474882
1919 14.184156944874102
1920 14.183610201717292
1921 14.139235148256187
1922 14.094924475384008
1923 14.113138306750571
1924 14.1015016816911
1925 14.08592356070811
1926 14.126504462285713
1927 14.129176278879605
1928 14.13215158385752
1929 14.15883866326435
1930 14.156750846030072
1931 14.126317928177798
1932 14.12182844689147
1933 14.109418722234736
1934 14.118295801860672
1935 14.186004052268274
1936 14.21173536644914
1937 14.244059670809543
1938 14.256517694930446
1939 14.246476855677033
1940 14.294848286241194
1941 14.313683114768006
1942 14.308527121419472
1943 14.345328597592099
1944 14.320986900688752
1945 14.304312191565291
1946 14.332733999149745
1947 14.317979241680916
1948 14.33489834823142
1949 14.392057000346963
1950 14.39661228398643
1951 14.379967088848224
1952 14.361845378140217
1953 14.33971328498338
1954 14.323781243759589
1955 14.376251181321873
1956 14.410801221676497
1957 14.405009970007816
1958 14.463791533081698
1959 14.450413544898943
1960 14.44616669771362
1961 14.455432302345006
1962 14.391503533831358
1963 14.320925702829129
1964 14.284719764900784
1965 14.251933512855846
1966 14.219010827613879
1967 14.241443964682626
1968 14.253461282184949
1969 14.23289035830738
1970 14.271553417172164
1971 14.314782792314848
1972 14.340977266238081
1973 14.393193747469974
1974 14.369746568839467
1975 14.367827913403168
1976 14.35048251342494
1977 14.315852944983092
1978 14.334041325870169
1979 14.371664605749139
1980 14.407427204987268
1981 14.44116217466986
1982 14.443217940276014
1983 14.3865509784094
1984 14.348731755967439
1985 14.312236230783753
1986 14.371899719575014
1987 14.434533182418512
1988 14.486286944628118
1989 14.585852429028545
1990 14.641972016542535
1991 14.558163036677342
1992 14.514929119986165
1993 14.491113846765534
1994 14.42313525915149
1995 14.533128973125114
1996 14.653181600219314
1997 14.6964703704368
1998 14.783841946315128
1999 14.83665593644213
2000 14.840066219739189
2001 14.91684956610338
2002 14.961137296942475
2003 15.0119024568457
2004 15.066159328152768
2005 15.073290145814564
2006 15.085805133257207
2007 15.07198520107611
2008 15.083708118458555
2009 15.073671746538377
2010 15.084384274635177
2011 15.112351956620497
2012 15.091035670420023
2013 15.120881632827325
2014 15.125038509362751
2015 15.196608619290712
2016 15.276147980727522
2017 15.289411675926893
2018 15.354125919185249
2019 15.343750435529655
2020 15.334391217637277
2021 15.398077974231596
2022 15.405698441213378
2023 15.389133475382899
2024 15.431285385857322
2025 15.442878720284492
2026 15.426022561685073
2027 15.491559496343633
2028 15.525161794071494
2029 15.501578274263068
2030 15.548540111137362
2031 15.571466358532792
2032 15.5438345277587
2033 15.58631614138243
2034 15.622255852280047
2035 15.600087050850455
2036 15.60541303102726
2037 15.606273517742384
2038 15.573065389576959
2039 15.600763767503208
2040 15.666335190569596
2041 15.689993635610666
2042 15.750055477473966
2043 15.79928211327597
2044 15.824719264519189
2045 15.878913699761753
2046 15.925012290687118
2047 15.956228150369467
2048 15.991259970517582
2049 16.01582045180146
