year,R1,R2
1850,51.190174,8.076306
1851,41.65899,7.5568013
1852,28.843906,9.303433
1853,25.928131,12.94352
1854,34.531086,9.523829
1855,15.146366,12.4362
1856,21.959301,14.79157
1857,25.207977,5.503417
1858,41.9085,12.225344
1859,27.924002,10.372812
1860,19.706228,13.690131
1861,39.22462,10.191395
1862,39.10062,9.819029
1863,47.80623,7.260425
1864,70.365326,8.991965
1865,50.758945,15.630776
1866,17.547247,10.597224
1867,13.888134,21.152952
1868,39.60096,22.13186
1869,27.802835,7.1285458
1870,22.03163,14.745474
1871,54.169567,15.482912
1872,41.36981,6.517986
1873,50.279625,8.483098
1874,17.909367,10.550728
1875,16.592176,22.622332
1876,29.97568,8.965052
1877,34.39425,3.822709
1878,11.0580845,8.0393095
1879,68.52255,5.5723243
1880,41.972294,15.861427
1881,46.241863,5.693573
1882,28.280905,6.029482
1883,97.629745,11.722709
1884,24.455467,3.5983253
1885,51.782257,14.490234
1886,17.833014,17.747303
1887,16.915995,12.994487
1888,30.525023,9.002903
1889,28.132805,4.2092648
1890,24.48548,4.2584543
1891,24.12278,10.336627
1892,19.417746,13.678612
1893,17.239233,4.7409415
1894,85.56143,11.39932
1895,42.42836,12.878899
1896,21.980385,16.619787
1897,23.31222,6.461946
1898,57.339024,12.153385
1899,28.511604,15.218316
1900,72.60575,3.595814
1901,34.84968,10.707853
1902,31.79849,8.910857
1903,36.514717,5.8739877
1904,30.613516,16.523613
1905,34.16726,6.8169174
1906,31.825691,7.380846
1907,67.61327,9.076086
1908,24.331947,8.410033
1909,11.975415,12.818749
1910,43.26903,11.274327
1911,12.20011,6.086828
1912,22.06452,9.090665
1913,37.054665,6.620915
1914,36.943386,15.404215
1915,35.05318,6.4198103
1916,29.303835,13.695157
1917,31.851946,14.046517
1918,20.13742,7.6910653
1919,36.144722,5.925308
1920,28.680725,6.449585
1921,39.250027,15.869966
1922,36.497356,9.867047
1923,38.961823,12.217795
1924,32.96037,7.750738
1925,31.0401,12.27835
1926,31.330656,8.457957
1927,41.894188,9.184349
1928,23.732695,5.0034976
1929,94.20748,6.138713
1930,70.87422,11.554699
1931,20.800863,6.17943
1932,37.772053,24.718391
1933,16.266191,7.6230555
1934,20.068186,9.52869
1935,11.701616,17.415354
1936,10.387171,10.8673115
1937,26.187927,18.883778
1938,26.050322,22.706741
1939,27.650743,6.555626
1940,15.468025,6.7152104
1941,62.18412,5.6973815
1942,31.096867,23.432434
1943,17.49289,9.993093
1944,26.854853,13.265342
1945,14.754872,8.556195
1946,14.205239,15.793912
1947,26.738415,6.7943344
1948,20.273655,10.355578
1949,24.398588,15.261009
1950,19.324045,6.954845
1951,54.36674,9.217531
1952,59.114994,14.276054
1953,21.062386,8.644188
1954,18.911058,5.303734
1955,49.884727,14.268768
1956,28.603886,18.446331
1957,42.27319,13.147111
1958,36.84274,4.9026546
1959,27.63574,11.66966
1960,24.012638,9.999515
1961,20.221037,13.591326
1962,27.206509,9.777488
1963,16.555925,6.3184576
1964,31.924936,9.034446
1965,30.797167,4.4077525
1966,26.813091,4.8892756
1967,42.513603,4.0308933
1968,52.455418,4.715203
1969,32.56028,9.259307
1970,32.14341,5.109389
1971,68.21529,14.245996
1972,21.815653,11.683658
1973,23.477049,13.378949
1974,30.953444,7.1488643
1975,36.820152,5.354728
1976,73.42101,11.635176
1977,30.374468,14.713589
1978,36.375145,4.641179
1979,23.11736,16.174006
1980,41.713596,17.747946
1981,40.79296,5.361013
1982,64.66456,5.1205854
1983,21.774366,11.090101
1984,26.940641,16.730139
1985,42.02265,8.813747
1986,20.377592,17.624971
1987,43.5007,9.693182
1988,24.63767,9.670367
1989,30.681078,4.8860836
1990,16.034716,6.786082
1991,26.536327,4.9663153
1992,37.972797,7.702607
1993,25.80974,12.195983
1994,36.26193,18.307323
1995,31.484978,6.2504134
1996,29.827808,6.2394958
1997,43.17465,9.576453
1998,39.341213,16.330212
1999,40.18913,8.02186
2000,27.410475,15.350916
2001,21.644678,7.5226665
2002,53.685272,4.9295
2003,13.497997,18.596745
2004,46.944202,9.302219
2005,62.590538,13.413197
2006,23.208372,17.310215
2007,35.087727,13.730372
2008,32.414963,10.37948
2009,36.801144,9.791973
2010,31.137781,10.293565
2011,38.81925,12.065577
2012,40.387257,7.0211997
2013,27.130722,11.901367
2014,74.892136,9.705862
2015,35.951473,17.50897
2016,27.07074,20.397535
2017,47.977882,16.552757
2018,40.056152,10.541038
2019,35.64097,14.228656
2020,26.381798,9.698386
2021,32.7443,9.993407
2022,86.907684,30.174978
2023,73.83467,18.976425
2024,58.658558,6.6019454
2025,25.772554,25.615156
2026,41.346523,13.561619
2027,36.31747,22.805088
2028,34.02549,20.007582
2029,64.399284,12.662526
2030,74.98766,17.737825
2031,23.497673,30.142498
2032,16.871763,18.159948
2033,40.086033,19.976131
2034,19.988848,22.267666
2035,26.483543,14.444812
2036,43.022694,17.204025
2037,49.046036,23.179071
2038,44.509903,23.02521
2039,55.00425,11.721316
2040,31.43206,24.584759
2041,66.338356,30.444387
2042,31.97703,27.800694
2043,97.22262,18.505634
2044,87.66484,36.397152
2045,122.789795,23.038074
2046,83.14496,17.849333
2047,88.043526,19.162596
2048,24.985022,20.778162
2049,67.46114,16.502758
2050,81.31975,39.60627
