year,R1,R2
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,0.0
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,0.0,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,0.0,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,0.0,0.0
1948,0.0,0.0
1949,0.0,0.0
1950,32.24936,25.946114
1951,24.418406,18.174017
1952,35.42495,8.620668
1953,18.228235,21.092985
1954,15.188585,22.340591
1955,23.218113,29.539097
1956,35.00005,22.25762
1957,26.676311,21.670122
1958,31.187931,11.874598
1959,20.486586,27.20486
1960,22.9859,17.158085
1961,50.111008,38.521202
1962,38.868507,20.22591
1963,21.892231,26.470366
1964,17.15197,14.16081
1965,18.864563,14.7469225
1966,38.33599,10.408368
1967,41.26163,16.653461
1968,31.457943,18.848671
1969,11.056858,10.110603
1970,22.310957,15.335012
1971,36.613735,13.575255
1972,26.123987,21.53779
1973,66.59388,25.05659
1974,35.186348,25.408983
1975,31.014734,37.551373
1976,42.608044,13.554361
1977,39.67016,10.822677
1978,25.569378,11.381853
1979,24.099163,17.90571
1980,14.50642,24.617884
1981,59.51053,16.36629
1982,34.431416,9.122288
1983,35.94761,18.376621
1984,63.13706,15.107905
1985,52.66578,33.628235
1986,52.022957,20.945528
1987,26.371319,19.127567
1988,14.886406,13.323355
1989,27.693382,15.564831
1990,61.239914,25.026514
1991,37.4741,16.476963
1992,25.75282,26.109324
1993,54.910152,25.310795
1994,20.814367,38.637833
1995,45.89616,18.325932
1996,17.694715,7.9760156
1997,24.152681,20.935123
1998,30.851898,27.769777
1999,31.91633,35.89367
2000,29.60767,16.908346
2001,35.71198,24.007431
2002,30.840036,32.71057
2003,62.78748,15.196543
2004,35.604385,27.539703
2005,28.33599,48.172684
2006,50.761684,17.057018
2007,24.17682,24.011156
2008,35.54731,39.28157
2009,51.62034,19.777626
2010,58.25955,8.079058
2011,44.33898,46.22026
2012,43.658092,27.230577
2013,48.57562,10.416648
2014,36.548946,22.709621
2015,32.867702,19.842556
2016,57.698753,20.123915
2017,20.358809,20.418179
2018,40.943253,24.189217
2019,127.42992,42.7999
2020,36.987644,38.43805
2021,27.563427,28.31463
2022,37.189896,25.355267
2023,56.607674,18.455587
2024,92.48941,57.127396
2025,88.368965,54.449448
2026,73.77877,41.693844
2027,27.810738,26.74728
2028,66.71632,35.635914
2029,43.783733,30.784132
2030,34.764065,31.519674
2031,64.07929,41.910095
2032,145.10452,32.732697
2033,57.92414,25.919403
2034,133.4806,50.88922
2035,33.65787,34.65164
2036,67.33648,26.192818
2037,50.63028,37.87119
2038,53.78012,37.340862
2039,110.20669,80.85446
2040,76.122375,59.389378
2041,40.19396,41.340313
2042,57.94711,36.41535
2043,65.3133,62.47333
2044,90.63669,89.52613
2045,56.890633,57.00773
2046,43.574917,64.18593
2047,32.12596,51.995415
2048,126.059395,70.4976
2049,125.11111,136.16028
2050,32.87425,72.165665
2051,75.6777,64.62142
2052,48.37958,72.80746
2053,66.041466,84.33697
2054,98.04037,60.94249
2055,48.007336,42.29692
2056,183.54272,117.535355
2057,97.2929,72.01439
2058,75.32387,44.706684
2059,116.42103,50.937912
2060,113.62187,149.25731
2061,101.20256,92.49333
2062,89.92875,79.463684
2063,60.94635,77.072586
2064,125.15231,107.89611
2065,77.45839,60.21366
2066,111.34759,82.78803
2067,114.04847,138.55058
2068,76.74335,96.894684
2069,114.3146,75.47658
2070,111.045525,110.65228
2071,113.12205,89.44988
2072,67.959,83.28168
2073,205.73087,97.30425
2074,108.808815,77.09842
2075,106.10317,77.61401
2076,134.468,80.465355
2077,172.1873,118.719
2078,98.62233,126.593315
2079,162.62665,68.78793
2080,185.6889,231.32056
2081,210.06633,82.0419
2082,177.29536,91.8659
2083,177.73415,131.19348
2084,112.138954,114.68693
2085,169.356,122.04926
2086,267.40384,201.86275
2087,149.3497,98.08288
2088,179.72675,85.97012
2089,223.81972,208.696
2090,114.26802,129.81479
2091,114.31883,58.127262
2092,220.66765,128.50279
2093,165.6846,242.64813
2094,205.99167,175.47903
2095,480.0302,212.82953
2096,298.61197,207.89107
2097,214.73882,141.69681
2098,215.80643,109.757324
2099,197.48169,214.64479
2100,152.49258,143.30598
